GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.controller,MemberGradeController,9,6,0,0,2,1,1,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.controller,MemberController,17,50,0,0,2,11,2,6,2,6
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.controller,SocialMemberController,9,6,0,0,2,1,1,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.entity.enums,Status,0,21,0,0,0,2,0,1,0,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.entity.enums,Role,0,15,0,0,0,2,0,1,0,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointpolicy.utils,PointPolicyMapperImpl,35,79,8,6,11,23,8,4,1,4
1lluwa-user-service,com.nhnacademy.illuwa.common.config,AppConfig,0,18,0,0,0,6,0,4,0,4
1lluwa-user-service,com.nhnacademy.illuwa.common.config,JPAConfig,0,9,0,0,0,2,0,2,0,2
1lluwa-user-service,com.nhnacademy.illuwa.domain.grade.entity.enums,GradeName,28,39,4,0,5,5,4,2,2,2
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointhistory.controller,PointHistoryController,32,6,0,0,4,1,4,1,4,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointhistory.entity.enums,PointReason,29,46,0,0,5,9,4,2,4,2
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointhistory.entity.enums,PointHistoryType,0,15,0,0,0,2,0,1,0,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.repo,MemberRepositoryImpl,44,20,2,0,10,5,3,2,2,2
1lluwa-user-service,com.nhnacademy.illuwa.common.advice,UserGlobalExceptionHandler,156,3,0,0,28,1,4,1,4,1
1lluwa-user-service,com.nhnacademy.illuwa.common.advice,AddressGlobalExceptionHandler,78,3,0,0,14,1,2,1,2,1
1lluwa-user-service,com.nhnacademy.illuwa.common.advice,GlobalExceptionHandler,117,3,0,0,21,1,3,1,3,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.memberaddress.service.impl,MemberAddressServiceImpl,0,155,0,8,0,31,0,14,0,10
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointpolicy.service.impl,PointPolicyServiceImpl,24,152,8,9,5,31,7,10,0,8
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.service.impl,MemberServiceImpl,128,250,13,15,20,53,23,13,11,11
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.service.impl,SocialMemberService,56,9,2,0,15,1,2,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.service.impl,MemberGradeService,35,6,4,0,10,1,3,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.member.utils,MemberMapperImpl,12,127,8,8,5,34,8,5,0,5
1lluwa-user-service,com.nhnacademy.illuwa.domain.memberaddress.controller,MemberAddressController,0,44,0,0,0,7,0,6,0,6
1lluwa-user-service,com.nhnacademy.illuwa.common.config.init,MemberInitializer,8,86,2,2,2,32,3,2,1,2
1lluwa-user-service,com.nhnacademy.illuwa.common.config.init,GradeInitializer,1,79,1,1,1,33,1,2,0,2
1lluwa-user-service,com.nhnacademy.illuwa.domain.memberaddress.repo,MemberAddressRepositoryImpl,0,56,0,0,0,14,0,3,0,3
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointpolicy.entity.enums,PointValueType,33,15,4,0,5,2,4,1,2,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.message.controller,MessageController,0,20,0,0,0,3,0,2,0,2
1lluwa-user-service,com.nhnacademy.illuwa.domain.message.controller,InactiveVerificationController,0,87,0,2,0,18,0,5,0,4
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointpolicy.controller,PointPolicyController,35,6,0,0,6,1,4,1,4,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointhistory.service.impl,PointHistoryServiceImpl,160,18,6,0,33,1,10,1,7,1
1lluwa-user-service,com.nhnacademy.illuwa.tmpfront,MemberAddressViewController,2,3,0,0,1,1,1,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.common.testconfig,GradeTestDataConfig,3,145,0,8,1,42,1,10,1,6
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointhistory.util,PointHistoryMapperImpl,26,3,2,0,8,1,2,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.guest.controller,GuestController,14,0,0,0,2,0,2,0,2,0
1lluwa-user-service,com.nhnacademy.illuwa,IlluwaApplication,5,3,0,0,2,1,1,1,1,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.memberaddress.utils,MemberAddressMapperImpl,8,148,12,10,3,39,11,4,0,4
1lluwa-user-service,com.nhnacademy.illuwa.domain.guest.service.impl,GuestServiceImpl,39,6,0,0,11,1,2,1,2,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.grade.service,GradeService,44,6,0,0,5,1,5,1,5,1
1lluwa-user-service,com.nhnacademy.illuwa.domain.pointhistory.repo,PointHistoryRepositoryImpl,0,105,0,0,0,24,0,5,0,5
1lluwa-user-service,com.nhnacademy.illuwa.domain.message.service,InactiveVerificationService,0,77,0,6,0,19,0,6,0,3
1lluwa-user-service,com.nhnacademy.illuwa.domain.message.service,MessageSendService,0,181,0,6,0,41,0,9,0,6
